balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.8763789746917586,0.8666666666666667,0.9701492537313433,0.915492957746479,0.9287800129785854,0.9318101677412796,RF,val,train_horizon,14.5,113
1.0,1.0,1.0,1.0,,,RF,val,train_horizon,14.75,8
0.8800751879699249,0.8796992481203008,0.9285714285714286,0.9034749034749036,0.9349206349206349,0.9341647421625657,RF,val,train_horizon,16.0,221
0.8955059710873665,0.9026548672566371,0.918918918918919,0.9107142857142857,0.9459983239053007,0.9429848290776702,RF,val,is_censored,0,197
0.8082068540392849,0.8262108262108262,0.932475884244373,0.8761329305135952,0.8993552471552572,0.9225307915053594,RF,val,is_censored,1,504
0.8354227182388014,0.8448275862068966,0.9289099526066351,0.8848758465011287,0.914976473186227,0.928820345550718,RF,val,too_sparse,0,701
0.8323349487566537,0.8394495412844036,0.8926829268292683,0.8652482269503546,0.9202391356161119,0.9405609540826261,RF,test,overall,all,717
1.0,1.0,1.0,1.0,,,RF,test,source_type,lab,78
0.8197284251010557,0.8044692737430168,0.8674698795180723,0.8347826086956521,0.9015001373572465,0.9060858447006196,RF,test,source_type,synthetic,639
0.6633986928104576,0.7325581395348837,0.7777777777777778,0.7544910179640719,0.7552650689905592,0.8442481187431123,RF,test,train_horizon,8.0,132
0.8358843537414966,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.9080215419501134,0.9326625973310644,RF,test,train_horizon,10.0,121
0.8469328703703703,0.8133333333333334,0.953125,0.8776978417266187,0.9542824074074074,0.960969661884695,RF,test,train_horizon,12.0,118
0.8895500725689405,0.90625,0.8923076923076924,0.8992248062015504,0.9679245283018869,0.9744193650735302,RF,test,train_horizon,14.5,118
1.0,1.0,1.0,1.0,,,RF,test,train_horizon,14.75,18
