balanced_acc,precision,recall,f1,roc_auc,pr_auc,model,split,slice_col,slice_val,n
0.8289321552450148,0.8411764705882353,0.9022082018927445,0.8706240487062405,0.9279443881410852,0.9508717979468988,RF,test,is_censored,1,538
0.8429172956224676,0.8498845265588915,0.8975609756097561,0.8730723606168447,0.9354850242313497,0.9510318108619369,RF,test,too_sparse,0,717
0.9711843859421134,0.9853168469860897,0.9651778955336866,0.9751434034416826,0.9970601412404477,0.9981917654002861,HGB,train,overall,all,2154
1.0,1.0,1.0,1.0,,,HGB,train,source_type,lab,217
0.9677621048419368,0.9823584029712163,0.9583333333333334,0.9701971572673086,0.996482288567601,0.9974214309568233,HGB,train,source_type,synthetic,1937
0.9355258268301747,0.9727272727272728,0.9145299145299145,0.9427312775330396,0.9858169205995293,0.9922035110898024,HGB,train,train_horizon,8.0,372
0.9666562694946974,0.9908675799086758,0.9475982532751092,0.96875,0.9956643792888334,0.9974473585311274,HGB,train,train_horizon,10.0,369
0.9759031739066842,0.9767441860465116,0.9905660377358491,0.9836065573770492,0.998391107210765,0.99902013345411,HGB,train,train_horizon,12.0,341
0.9848750424064232,0.9915611814345991,0.9832635983263598,0.9873949579831933,0.9990670586904896,0.9994344342691164,HGB,train,train_horizon,14.5,387
1.0,1.0,1.0,1.0,,,HGB,train,train_horizon,14.75,34
0.9820240842366538,0.989100817438692,0.9784366576819407,0.983739837398374,0.998981946518257,0.9992427643537336,HGB,train,train_horizon,16.0,649
0.987171575887225,0.9902597402597403,0.9870550161812298,0.9886547811993518,0.999094948165213,0.9993151168197156,HGB,train,is_censored,0,545
0.9658486768493323,0.9837728194726166,0.958498023715415,0.970970970970971,0.9960523963691977,0.9977356046116888,HGB,train,is_censored,1,1609
0.9711843859421134,0.9853168469860897,0.9651778955336866,0.9751434034416826,0.9970601412404477,0.9981917654002861,HGB,train,too_sparse,0,2154
0.852248212132022,0.8721461187214612,0.9052132701421801,0.8883720930232558,0.9327956989247312,0.9500576164523563,HGB,val,overall,all,701
1.0,1.0,1.0,1.0,,,HGB,val,source_type,lab,41
